ticker,model,accuracy,precision_buy,recall_buy,f1_buy,true_negative,false_positive,false_negative,true_positive,positive_rate_actual,positive_rate_predicted,avg_probability_positive,roc_auc
AAPL,CatBoostClassifier,0.7857142857142857,0.8048780487804879,0.9217877094972067,0.859375,33,40,14,165,0.7103174603174603,0.8134920634920635,0.744563998084738,0.7534246575342466
AXP,CatBoostClassifier,0.45634920634920634,0.5517241379310345,0.5263157894736842,0.5387205387205387,35,65,72,80,0.6031746031746031,0.5753968253968254,0.5354230857108448,0.3522368421052632
KO,CatBoostClassifier,0.8253968253968254,0.9573170731707317,0.8092783505154639,0.8770949720670391,51,7,37,157,0.7698412698412699,0.6507936507936508,0.6349771454190188,0.9175257731958761
BAC,CatBoostClassifier,0.5,0.9156626506024096,0.38974358974358975,0.5467625899280576,50,7,119,76,0.7738095238095238,0.32936507936507936,0.40882055690778807,0.7086819613135403
CVX,CatBoostClassifier,0.4603174603174603,0.9361702127659575,0.4036697247706422,0.5641025641025641,28,6,130,88,0.8650793650793651,0.373015873015873,0.42846969269231344,0.6316783594171613
MCO,CatBoostClassifier,0.503968253968254,0.5254237288135594,0.9051094890510949,0.6648793565683646,3,112,13,124,0.5436507936507936,0.9365079365079365,0.8046074653582908,0.5017454776261505
OXY,CatBoostClassifier,0.5198412698412699,0.6612903225806451,0.2907801418439716,0.4039408866995074,90,21,100,41,0.5595238095238095,0.24603174603174602,0.2995374653319518,0.5847549677336912
CB,CatBoostClassifier,0.7817460317460317,0.7905982905982906,0.9685863874345549,0.8705882352941177,12,49,6,185,0.7579365079365079,0.9285714285714286,0.8974870106123761,0.7269762252167196
KHC,CatBoostClassifier,0.051587301587301584,0.01646090534979424,1.0,0.032388663967611336,9,239,0,4,0.015873015873015872,0.9642857142857143,0.8602082154043156,0.4495967741935484
GOOGL,CatBoostClassifier,0.30158730158730157,0.6785714285714286,0.35185185185185186,0.4634146341463415,0,36,140,76,0.8571428571428571,0.4444444444444444,0.45879978729649856,0.18852880658436214
