Ticker,Last_Price,Predicted_Price_6M,Ensemble_Return_6M,TimesFM_Return_6M,RF_Return_6M,CatBoost_Return_6M,timesfm_weight,rf_weight,catboost_weight,timesfm_label,volatility_60d,drawdown,max_drawdown,price_position_252d,avg_volume_60d,directional_accuracy,Buy_Probability,rf_return_20d,rf_return_60d,rf_return_120d,catboost_return_20d,catboost_return_60d,catboost_return_120d,Benchmark_Expected_Return_6M,Expected_Excess_Return_6M,Projected_Profit_Per_1B,Forecast_Consistency
AAPL,310.5199890136719,336.24495684444184,0.0828448046532597,-0.0022550104819413,0.0968252367188671,0.1387857229255571,0.3,0.3247983872950172,0.3752016127049827,TimesFM 2.5 200M PyTorch,0.0138291680286781,-0.01484778874401,-0.3851590874914985,0.9611077599472188,45477361.98333333,60.55776892430279,0.9807480219727996,0.0093053651875049,0.0283756294880008,0.1362986226110546,0.0357200714931346,0.0321386939682487,0.1277185171340044,0.02819043387253507,0.05465437078072463,82844804.65325971,0.6667
AXP,312.70001220703125,335.1835388949131,0.071901265782478,0.0579517757872549,0.0873365721237844,0.0655058347237449,0.3,0.3967639104881781,0.3032360895118218,TimesFM 2.5 200M PyTorch,0.0147351186553491,-0.1831811373671396,-0.496385009771616,0.2845826753806992,3171527.433333333,58.16733067729084,0.2871605415148252,0.0257117824323016,0.0802828419951007,0.008900778211629,0.0201804358099186,0.0679370833241669,-0.0029122586643866,0.02819043387253507,0.04371083190994293,71901265.782478,1.0
KO,79.33499908447266,81.75336219016525,0.0304829285132735,0.0017072495452992,0.0354334894036116,0.0495110805694964,0.3,0.3329406781127516,0.3670593218872483,TimesFM 2.5 200M PyTorch,0.0118093936567302,-0.031555165310692,-0.3698752222004661,0.8493008356880472,14777028.8,67.72908366533864,0.1772456661929483,0.0008342300897393,0.0319604640269964,0.0358878635224048,-0.0002583307771696,0.0371515131310191,0.0619550225369554,0.02819043387253507,0.00229249464073843,30482928.5132735,1.0
BAC,53.709999084472656,48.87493871380141,-0.0900216059037141,0.0237437387045256,-0.1150266419050454,-0.1657742855350098,0.3,0.3723773363198469,0.327622663680153,TimesFM 2.5 200M PyTorch,0.0133165681045972,-0.0516284188281451,-0.4894681191274955,0.7831543515364879,36654959.333333336,52.589641434262944,0.2517238924417508,-0.0071300755395,-0.0339670744365678,-0.1756505431992598,-0.0508465154354275,-0.1044405684044669,-0.0981471839161584,0.02819043387253507,-0.11821203977624917,-90021605.90371409,0.3333
CVX,189.46499633789065,177.1900599289044,-0.0647873572757219,-0.0440431487137807,-0.0971593438173756,-0.0498197592017028,0.3,0.3527825889470629,0.3472174110529371,TimesFM 2.5 200M PyTorch,0.016428688408854,-0.0944809387637345,-0.5577392794818294,0.7352181012935046,11337883.816666666,66.13545816733067,0.092928393975349,-0.051183117081264,-0.0292008809315085,-0.030352214107109,-0.0256574289521442,-0.0024075701028517,-0.0250341503137801,0.02819043387253507,-0.09297779114825697,-64787357.27572189,0.0
MCO,443.8250122070313,516.1717130930332,0.1630072638904232,0.0615944515321118,0.1981157194117155,0.2172374367390475,0.3,0.3941736590661757,0.3058263409338243,TimesFM 2.5 200M PyTorch,0.0149761237388836,-0.1737633058789535,-0.4201719496780037,0.2638999429853309,1064574.2666666666,47.80876494023904,0.9125125008975264,0.0737220827026406,0.1046784240948113,0.019910981338417,0.0615410521538482,0.1344903174229423,0.0754718209526216,0.02819043387253507,0.13481683001788813,163007263.89042318,1.0
OXY,57.3650016784668,49.4714444540622,-0.1376023183725908,-0.0221799054135982,-0.2118288782926778,-0.1631550434367814,0.3,0.343918172716905,0.3560818272830949,TimesFM 2.5 200M PyTorch,0.0244909561251304,-0.2010313348027067,-0.8838876992274881,0.6773188356650297,14486829.233333332,52.98804780876494,0.0432843047856003,-0.0230516231041136,-0.1567365094163333,-0.213914481670151,-0.0382606629911505,-0.0800303352785472,-0.1451350154883791,0.02819043387253507,-0.16579275224512585,-137602318.37259078,0.0
CB,322.7699890136719,339.6115168984712,0.0521781096695639,0.0222989077605531,0.0593538905173753,0.06966960274288,0.3,0.317989151588389,0.382010848411611,TimesFM 2.5 200M PyTorch,0.011053073590222,-0.0555409107396686,-0.4259167852771961,0.7520229679020299,1643334.9166666667,58.964143426294825,0.8332670412465305,0.0061986073631367,0.0748593551320144,0.022160079014466,0.0094018199390691,0.0599609445951467,0.0487038175112927,0.02819043387253507,0.02398767579702883,52178109.6695639,1.0
KHC,23.225000381469727,25.770154565246933,0.1095868306554639,0.0482792019998374,0.1789294480867795,0.0984068140023703,0.3,0.3256016218541675,0.3743983781458325,TimesFM 2.5 200M PyTorch,0.0157665254101849,-0.5610361655393288,-0.7200309559799261,0.3804923784561448,14837861.183333334,56.17529880478087,0.9063625285752596,0.0805080309092528,0.0544572126585702,0.0062397006292377,0.0301071271588203,0.0652092620660046,0.0320794276431142,0.02819043387253507,0.08139639678292883,109586830.6554639,1.0
GOOGL,364.522705078125,387.96677037964776,0.0643144171129153,0.0566845658485619,0.0490315928591795,0.0864511452281284,0.3,0.3529372604762157,0.3470627395237842,TimesFM 2.5 200M PyTorch,0.0229283799290857,-0.0946234427030228,-0.4432005064829468,0.839793744577967,29194774.58333333,53.78486055776892,0.9469890699637464,-0.0164562416886681,-0.0066089045168421,0.1520319356976235,-0.0229096740492629,0.0643128060462512,0.1714322342877603,0.02819043387253507,0.03612398324038023,64314417.1129153,1.0
