ticker,start_date,end_date,rows,last_close,historical_return_6m,volatility_60d,max_drawdown
AAPL,2018-01-02,2026-06-08,2119,310.5199890136719,0.11792762483864405,0.013829168028678134,-0.3851590874914985
AXP,2018-01-02,2026-06-08,2119,312.70001220703125,-0.17820627190566196,0.014735118655349102,-0.49638500977161604
BAC,2018-01-02,2026-06-08,2119,53.709999084472656,-0.015337780708815307,0.013316568104597281,-0.48946811912749555
CB,2018-01-02,2026-06-08,2119,322.7699890136719,0.04944665681172644,0.011053073590222055,-0.4259167852771961
CVX,2018-01-02,2026-06-08,2119,189.46499633789065,0.2872240341681833,0.016428688408854076,-0.5577392794818294
GOOGL,2018-01-02,2026-06-08,2119,364.522705078125,0.17940860330780395,0.02292837992908575,-0.44320050648294684
KHC,2018-01-02,2026-06-08,2119,23.225000381469727,-0.016652621641559895,0.015766525410184952,-0.7200309559799261
KO,2018-01-02,2026-06-08,2119,79.33499908447266,0.13273551686669216,0.011809393656730206,-0.3698752222004661
MCO,2018-01-02,2026-06-08,2119,443.8250122070313,-0.08375339562162476,0.01497612373888365,-0.42017194967800375
OXY,2018-01-02,2026-06-08,2119,57.3650016784668,0.40339355302197943,0.024490956125130428,-0.8838876992274881
