ticker,model,mae,rmse,mape,directional_accuracy
AAPL,RandomForest,0.13116158257443128,0.1532986451481748,311.21859843604267,63.34661354581673
AAPL,CatBoostRegressor,0.10738400695557831,0.1327050605131289,192.45150784757485,60.55776892430279
AAPL,Ensemble,0.11454848080798181,0.1377320140575109,223.3092637693054,60.55776892430279
AXP,RandomForest,0.13462632694952406,0.1554314181813777,186.7150829575484,60.55776892430279
AXP,CatBoostRegressor,0.17808923050670988,0.20337149641273983,215.10614552980857,56.17529880478087
AXP,Ensemble,0.1568346606043577,0.17687164530785957,199.58289814493207,58.16733067729084
KO,RandomForest,0.0532975362964811,0.0627542209776485,303.527704478318,61.75298804780876
KO,CatBoostRegressor,0.04781420616256921,0.056921134108000426,326.39981477143294,66.93227091633466
KO,Ensemble,0.04979181013443201,0.05841111297677857,315.0579786944724,67.72908366533864
BAC,RandomForest,0.13933604137603584,0.18008239723395836,705.8729125698605,56.97211155378486
BAC,CatBoostRegressor,0.15982590069598637,0.20468243144967846,578.7022447778257,52.98804780876494
BAC,Ensemble,0.13984325025897784,0.17873212696981436,585.5601849471105,52.589641434262944
CVX,RandomForest,0.1286022951802517,0.1766620531917511,238.2692771762273,64.14342629482071
CVX,CatBoostRegressor,0.12748188931864957,0.17949358099495713,180.16046634811195,66.93227091633466
CVX,Ensemble,0.1263592128473679,0.17766376351766502,190.4216600581784,66.13545816733067
MCO,RandomForest,0.08017644445880097,0.10139488125894344,1045.1883621741192,44.6215139442231
MCO,CatBoostRegressor,0.10496811806548702,0.13068590244509504,1688.5875829724177,49.00398406374502
MCO,Ensemble,0.0913626411982575,0.11481509006661102,1393.402118900358,47.808764940239044
OXY,RandomForest,0.2751191046266318,0.3450012720863939,1263.2529454385785,50.59760956175299
OXY,CatBoostRegressor,0.272885279613903,0.3332161261535782,1060.2282213943133,52.191235059760956
OXY,Ensemble,0.2730583000801084,0.33522641892443095,1150.649805607937,52.98804780876494
CB,RandomForest,0.0716385810705675,0.08843010338904848,284.61645439357375,57.37051792828686
CB,CatBoostRegressor,0.062291648484180444,0.07360998691130984,686.8890398394589,59.36254980079681
CB,Ensemble,0.06546328606792678,0.07609404140872955,504.7795856505844,58.964143426294825
KHC,RandomForest,0.14348207450917794,0.1563595751860245,2256.209475513615,54.581673306772906
KHC,CatBoostRegressor,0.12447367350862763,0.1359806405282232,1103.2672529483043,55.77689243027888
KHC,Ensemble,0.13204171351969368,0.14358756367106323,1619.1896511030584,56.17529880478087
GOOGL,RandomForest,0.45347384460836127,0.5621803582294882,136.39394023364122,56.17529880478087
GOOGL,CatBoostRegressor,0.45973582529769774,0.571696044926355,119.91656748759108,53.38645418326693
GOOGL,Ensemble,0.4563373815021426,0.5660613015202761,118.95718426003053,53.78486055776892
